Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
9H-QBJ,IE,44.446819,15.617266,11582,208,824,2LK,RYR2LK,FR9475,LOWW,VIE,LIRN,NAP,RYR,FR,B738,1688586758,en-route
9H-QCD,IE,49.830688,-3.35589,11277,152,837,92QZ,RYR92QZ,FR1042,EIDW,DUB,LFBO,TLS,RYR,FR,B738,1688586761,en-route
9H-QCP,IE,50.335236,4.415998,3756,85,613,37LT,RYR37LT,FR3748,EBCI,CRL,LIRP,PSA,RYR,FR,B738,1688586762,en-route
9H-QCV,IE,41.028854,16.540833,10500,267,727,4PP,RYR4PP,FR5472,LBSF,SOF,LIRN,NAP,RYR,FR,B738,1688586754,en-route
9H-QEJ,IE,50.536552,9.461975,11277,70,901,4DL,RYR4DL,FR1143,LPPT,LIS,EDDB,BER,RYR,FR,B738,1688586760,en-route
9H-FHA,TR,49.692307,13.444664,10980,306,770,6208,FHM6208,MI6208,LBBG,BOJ,EDLP,PAD,FHY,MI,A320,1688586760,en-route
9H-QAT,IE,43.001465,13.177381,11887,169,879,67GC,RYR67GC,FR1076,LIPZ,VCE,LICC,CTA,RYR,FR,B738,1688586758,en-route
9H-QEL,IE,37.361382,23.847616,12192,299,820,1492,RYR1492,FR1492,LGRP,RHO,LIRP,PSA,RYR,FR,B738,1688586760,en-route
9H-QEM,IE,50.155975,9.372711,12192,321,790,196K,RYR196K,FR7415,LICT,TPS,EDLV,NRN,RYR,FR,B738,1688586761,en-route
9H-QDI,IE,44.178726,8.681371,7719,318,625,6PX,RYR6PX,FR3372,LMML,MLA,LIMF,TRN,RYR,FR,B738,1688586761,en-route
9H-QBD,IE,50.928009,5.337143,9022,287,751,212,RYR212,FR4500,EDDK,CGN,EIDW,DUB,RYR,FR,B738,1688586760,en-route
9H-QDA,IE,49.930489,14.691542,11277,194,753,29KV,RYR29KV,FR3393,EFHK,HEL,LIME,BGY,RYR,FR,B738,1688586759,en-route
9H-QCW,IE,46.378925,11.711838,6088,174,605,3EG,RYR3EG,FR896,EKBI,BLL,LIPH,TSF,RYR,FR,B738,1688586761,en-route
9H-QBB,IE,45.243141,9.868804,7879,124,827,92QH,RYR92QH,FR3416,LIMC,MXP,LIBR,BDS,RYR,FR,B738,1688586762,en-route
9H-QDN,IE,51.23378,0.416367,11277,112,918,2FQ,RYR2FQ,FR831,EIDW,DUB,LIPZ,VCE,RYR,FR,B738,1688586761,en-route
