Registration_number,Flag,Latitude,Longitude,Altitude,Direction,Speed,Flight_number,Flight_icao,Flight_iata,Departure_icao,Departure_iata,Arrival_icao,Arrival_iata,Airline_icao,Airline_iata,Aircraft_icao,Updated,Status
XA-AMJ,MX,28.48329,-81.327362,274,179,296,436,AMX436,AM436,MMMX,MEX,KMCO,MCO,AMX,AM,B738,1687905487,en-route
XA-AMC,MX,26.422398,-107.95488,10972,314,822,178,AMX178,AM178,MMMX,MEX,MMTJ,TIJ,AMX,AM,B738,1687905479,en-route
XA-VLB,MX,27.223701,-109.020081,11277,129,892,871,VOI871,Y4871,MMTJ,TIJ,MMMX,MEX,VOI,Y4,A320,1687905479,en-route
XA-AMM,MX,33.26889,-116.740555,10675,134,857,669,AMX669,AM669,KSFO,SFO,MMMX,MEX,AMX,AM,B738,1687905487,en-route
XA-AMN,MX,35.128143,-92.458138,10972,209,803,687,AMX687,AM687,KORD,ORD,MMMX,MEX,AMX,AM,B738,1687905481,en-route
XA-VLD,MX,20.700708,-100.553314,11277,123,816,877,VOI877,Y4877,MMTJ,TIJ,MMMX,MEX,VOI,Y4,A320,1687905483,en-route
XA-GAH,MX,20.129929,-96.666199,12192,310,848,2697,SLI2697,AM2697,MHSC,XPL,MMMX,MEX,SLI,AM,E190,1687905481,en-route
XA-PBP,MX,28.452169,-98.943413,12192,209,775,,,,KMKE,MKE,,,,,H25B,1687905486,en-route
XA-MBT,MX,27.24102,-103.241646,12192,297,835,7180,LET7180,,MMAN,NTR,MMCU,CUU,LET,,LJ75,1687905480,en-route
XA-RWS,MX,37.26395,-113.095055,11887,154,761,,,,CYVR,YVR,,,RWN,,E35L,1687905478,en-route
XA-AMU,MX,25.938629,-106.017136,11269,134,848,481,AMX481,AM481,KLAS,LAS,MMMX,MEX,AMX,AM,B738,1687905436,en-route
XA-AMV,MX,27.82901,-99.553444,10980,184,840,659,AMX659,AM659,KDEN,DEN,MMMX,MEX,AMX,AM,B738,1687905484,en-route
XA-VAE,MX,26.69552,-108.29361,10980,314,824,1254,VIV1254,VB1254,MMMX,MEX,MMTJ,TIJ,VIV,VB,A320,1687905478,en-route
XA-VAJ,MX,17.653074,-87.519104,11582,326,844,933,VIV933,VB933,MNMG,MGA,MMUN,CUN,VIV,VB,A320,1687905486,en-route
XA-NFP,MX,31.513229,-113.781036,10972,314,670,840,LCT840,YQ840,MMHO,HMO,MMML,MXL,LCT,YQ,E145,1687905480,en-route
XA-VAQ,MX,34.591385,-112.129616,10683,111,920,603,VIV603,VB603,KLAS,LAS,MMMY,MTY,VIV,VB,A320,1687905485,en-route
XA-VLM,MX,23.426529,-104.298805,11285,131,859,5921,VOI5921,Y45921,KLAX,LAX,MMMM,MLM,VOI,Y4,A320,1687905480,en-route
XA-VLN,MX,14.022232,-90.655182,10972,295,846,4050,VOC4050,Q64050,MROC,SJO,MMMX,MEX,VOI,Q6,A320,1687904678,en-route
XA-VLT,MX,30.794493,-113.773918,10972,320,824,906,VOI906,Y4906,MMGL,GDL,KOAK,OAK,VOI,Y4,A321,1687905475,en-route
XA-VAT,MX,21.417566,-90.862984,11277,74,783,2027,VIV2027,VB2027,MMPB,PBC,MMUN,CUN,VIV,VB,A320,1687905443,en-route
XA-FLA,MX,37.356354,-108.016815,12496,168,737,2542,ACW2542,,KGJT,GJT,MMCL,CUL,ACW,,E55P,1687905486,en-route
XA-ADT,MX,28.905167,-110.086334,10972,313,848,182,AMX182,AM182,MMMX,MEX,MMML,MXL,AMX,AM,B738,1687905486,en-route
XA-ADG,MX,26.42263,-84.794434,11574,251,918,6,AMX6,AM6,LFPG,CDG,MMMX,MEX,AMX,AM,B789,1687905439,en-route
XA-MAQ,MX,40.636219,-73.7789,0,171,0,403,AMX403,AM403,KJFK,JFK,MMMX,MEX,AMX,AM,B38M,1687905473,landed
XA-VIF,MX,24.753128,-96.525772,11269,108,835,2177,VIV2177,VB2177,MMMY,MTY,MMUN,CUN,VIV,VB,A20N,1687904239,en-route
XA-VIJ,MX,33.025772,-108.331459,11285,120,885,113,VIV113,VB113,KLAS,LAS,MMMX,MEX,VIV,VB,A20N,1687905486,en-route
XA-VRH,MX,21.202332,-89.593452,10957,266,868,863,VOI863,Y4863,MMUN,CUN,MMMX,MEX,VOI,Y4,A20N,1687905290,en-route
XA-MAT,MX,28.395309,-109.442734,10972,313,842,642,AMX642,AM642,MMMX,MEX,KLAX,LAX,AMX,AM,B38M,1687905479,en-route
XA-MAY,MX,21.435163,-100.2565,11559,314,866,117,AMX117,AM117,MMMX,MEX,MMCS,CJS,AMX,AM,B38M,1687905481,en-route
XA-VIS,MX,31.947311,-115.363899,10698,308,796,3106,VIV3106,VB3106,MMGL,GDL,MMTJ,TIJ,VIV,VB,A20N,1687905484,en-route
XA-CCM,MX,20.539778,-92.483459,11582,276,926,543,AMX543,AM543,MMUN,CUN,MMMX,MEX,AMX,AM,B38M,1687905285,en-route
XA-VRN,MX,32.254166,-97.508385,11894,36,890,944,VOI944,Y4944,MMDO,DGO,KMDW,MDW,VOI,Y4,A20N,1687905487,en-route
XA-VRL,MX,28.045578,-109.016647,11574,309,803,831,VOI831,Y4831,MMZC,ZCL,MMTJ,TIJ,VOI,Y4,A20N,1687905477,en-route
XA-VBA,MX,40.448227,-73.858032,1577,193,477,101,VIV101,VB101,KJFK,JFK,MMMX,MEX,VIV,VB,A21N,1687905485,en-route
XA-VRO,MX,22.346649,-100.785179,11277,56,837,894,VOI894,Y4894,MMGL,GDL,KJFK,JFK,VOI,Y4,A20N,1687905471,en-route
XA-VAI,MX,19.696625,-98.947815,10980,246,922,2134,VIV2134,VB2134,MMUN,CUN,MMGL,GDL,VIV,VB,A320,1687905485,en-route
XA-VRR,MX,27.88179,-108.897987,11277,153,866,999,VOI999,Y4999,KRNO,RNO,MMGL,GDL,VOI,Y4,A20N,1687905466,en-route
XA-VRT,MX,24.134727,-98.096298,11894,17,837,874,VOI874,Y4874,MMMX,MEX,KIAH,IAH,VOI,Y4,A20N,1687905475,en-route
XA-VRU,MX,28.102112,-110.192711,11269,129,898,542,VOI542,Y4542,MMTJ,TIJ,MMOX,OAX,VOI,Y4,A20N,1687905479,en-route
XA-VRV,MX,30.31938,-112.230507,11887,138,848,5379,VOI5379,Y45379,MMML,MXL,MMGL,GDL,VOI,Y4,A20N,1687905484,en-route
